,color,command,deleted,from,message,room,timestamp,video-offset,badges,bits,color,display-name,emotes,id,login,mod,msg-id,msg-param-months,room-id,sent-ts,style,subscriber,system-msg,tmi-sent-ts,turbo,user-id,user-type
66,#FF69B4,,False,jeanettewang,hey clint!,clintstevens,1492400447174,50174,"subscriber/3,bits/100",,#FF69B4,JeanetteWang,,18e85223-72b3-4c06-b2ba-61f0c108c75a,,False,,,86268118,1492400461444,,True,,1492400461630,False,105382702,
67,#CD9FFE,,False,xenoda,"@Curlyfrylol, i'm up for it",clintstevens,1492400447367,50367,"moderator/1,subscriber/12,bits/100",,#CD9FFE,xenoda,,42124151-fc9a-47a7-baf0-a7886f10c3f2,,True,,,86268118,1492400441634,,True,,1492400461839,False,53569589,mod
68,#FFC2E8,,False,shinycutesylveon,@ClintStevens WHERE THE FUCK IS MAKAR WHAT DID YOU DO TO HIM CLINT clintS clintChoco,clintstevens,1492400449023,52023,"subscriber/3,turbo/1",,#FFC2E8,shinycutesylveon,"{'82820': [[67, 72]], '61762': [[74, 83]]}",c218d9e9-88ef-4b85-a2a9-3619efb7c727,,False,,,86268118,1492400463029,,True,,1492400463478,True,61674684,
69,#E6C300,,False,chuckthegypsy,he's gonna play,clintstevens,1492400449797,52797,"subscriber/12,premium/1",,#E6C300,ChuckTheGypsy,,1ee4724f-384b-4810-944b-72323f61051e,,False,,,86268118,1492400462729,,True,,1492400464255,False,27862377,
70,#FF0000,,False,rfrazee00,!uptime,clintstevens,1492400452156,55156,,,#FF0000,rfrazee00,,bad99c75-a7fd-4a7a-9bc5-e815bbed1c33,,False,,,86268118,1492400466975,,False,,1492400466599,False,146780047,
71,,,False,kingw0rm,"hi clint, hi chat",clintstevens,1492400452338,55338,"subscriber/3,premium/1",,,kingW0rm,,9987061c-d1cf-49f4-a7e4-e381d85996dc,,False,,,86268118,1492400462124,,True,,1492400466761,False,125748916,
72,#CD9FFE,,False,xenoda,"@Curlyfrylol, maybe anyways, migraine",clintstevens,1492400452380,55380,"moderator/1,subscriber/12,bits/100",,#CD9FFE,xenoda,,ddf50473-0db8-4ad0-8354-b1d34d750e47,,True,,,86268118,1492400446627,,True,,1492400466842,False,53569589,mod
73,#FF69B4,,False,unbelievers_,@HurpyHooves clintHi clintHi,clintstevens,1492400454879,57879,"subscriber/6,bits/1000",,#FF69B4,unbelievers_,"{'110475': [[13, 19], [21, 27]]}",29180fc3-3b79-4877-bfa7-8a9cf2a89c04,,False,,,86268118,1492400469205,,True,,1492400469335,False,133992761,
74,#9ACD32,,False,natidac,OUR BOY,clintstevens,1492400456297,59297,bits/100,,#9ACD32,natidac,,60939108-1eb4-4f47-b046-fb52721ccca8,,False,,,86268118,1492400478813,,False,,1492400470724,False,44597828,
75,#FF0000,,False,marioman201o,dgdbdbjss,clintstevens,1492400456998,59998,,,#FF0000,marioman201o,,73d029c3-2d88-43fa-9c46-b11ea639f5aa,,False,,,86268118,,,False,,1492400471444,False,119014546,
76,#CD9FFE,,False,xenoda,"@ChuckTheGypsy, wait CLINTS PLAYING?",clintstevens,1492400459461,62461,"moderator/1,subscriber/12,bits/100",,#CD9FFE,xenoda,,0e52dc65-ee29-4def-82fc-57c070794b31,,True,,,86268118,1492400453713,,True,,1492400473928,False,53569589,mod
77,#E6C300,,False,chuckthegypsy,"@ClintStevens, curly and I are ready to play OW :)",clintstevens,1492400460442,63442,"subscriber/12,premium/1",,#E6C300,ChuckTheGypsy,"{'1': [[48, 49]]}",3fc311e4-3dae-4b8e-8d35-d1c61890f33b,,False,,,86268118,1492400473323,,True,,1492400474881,False,27862377,
78,#8A2BE2,,False,curlyfrylol,Sweet I'll be home in like 2 hours,clintstevens,1492400460576,63576,"moderator/1,subscriber/0",,#8A2BE2,Curlyfrylol,,c91bda38-2235-4984-a607-612883d71ccf,,True,,,86268118,,,True,,1492400475035,False,76385938,mod
79,,,False,timberbot111991,R u gonna eat peanut butter and bread again today or? OSkomodo OSkomodo,clintstevens,1492400463397,66397,,,,Timberbot111991,"{'81273': [[54, 61], [63, 70]]}",3b90a24e-ed43-4f56-9e96-adb267a6fc3f,,False,,,86268118,,,False,,1492400477850,False,88946107,
80,#5F9EA0,,False,shirazrl,hey xenoda PogChamp /,clintstevens,1492400463455,66455,,,#5F9EA0,ShirazRL,"{'88': [[11, 18]]}",27bdc88e-0b07-48cd-81dc-1a5103eef494,,False,,,86268118,1492400477863,,False,,1492400477862,False,67468924,
81,#E6C300,,False,chuckthegypsy,yeah,clintstevens,1492400464010,67010,"subscriber/12,premium/1",,#E6C300,ChuckTheGypsy,,eb14c00c-0f89-4d34-ac77-d7b148a51633,,False,,,86268118,1492400476789,,True,,1492400478413,False,27862377,
82,#8A2BE2,,False,curlyfrylol,At work,clintstevens,1492400464350,67350,"moderator/1,subscriber/0",,#8A2BE2,Curlyfrylol,,6fc9e2e0-0555-47cd-a318-a2b045c590f6,,True,,,86268118,,,True,,1492400478803,False,76385938,mod
83,#1A3B51,,False,maxximinn,@Curlyfrylol overwatch huh?,clintstevens,1492400465364,68364,,,#1A3B51,Maxximinn,,9b35f311-be54-4850-bdc7-fcbcae7099f9,,False,,,86268118,1492400477528,,False,,1492400479824,False,39563600,
84,,,False,andresjg_,Hi Clint,clintstevens,1492400467227,70227,,,,andresjg_,,1547864d-6b0a-4d77-819b-8b8ab90cc1d0,,False,,,86268118,1492393443124,,False,,1492400481681,False,138089680,
85,#CD9FFE,,False,xenoda,holly shit,clintstevens,1492400467669,70669,"moderator/1,subscriber/12,bits/100",,#CD9FFE,xenoda,,db578c47-3d41-468f-a1cb-0d7059225cb9,,True,,,86268118,1492400461916,,True,,1492400482128,False,53569589,mod
86,#8A2BE2,,False,curlyfrylol,Not ready yet,clintstevens,1492400469045,72045,"moderator/1,subscriber/0",,#8A2BE2,Curlyfrylol,,85e35e44-3bbd-4618-b5fd-dd7fde15897a,,True,,,86268118,,,True,,1492400483470,False,76385938,mod
87,#FF0000,,False,marioman201o,clint sounds like clit,clintstevens,1492400469860,72860,,,#FF0000,marioman201o,,75d46fd3-8816-4d06-917f-372e6a646782,,False,,,86268118,,,False,,1492400484326,False,119014546,
88,#CD9FFE,,False,xenoda,how'd u get him to do that chuck?,clintstevens,1492400471944,74944,"moderator/1,subscriber/12,bits/100",,#CD9FFE,xenoda,,ef94bac7-7a7d-4488-9c7b-5897997203cc,,True,,,86268118,1492400466117,,True,,1492400486334,False,53569589,mod
89,#8A2BE2,,False,curlyfrylol,Still working,clintstevens,1492400472518,75518,"moderator/1,subscriber/0",,#8A2BE2,Curlyfrylol,,70a20683-6d5b-4a32-bf3c-43816c3f0b58,,True,,,86268118,,,True,,1492400486988,False,76385938,mod
90,,,False,pes2009k,imGlitch,clintstevens,1492400473508,76508,,,,pes2009k,"{'112290': [[0, 7]]}",3f402e7e-d780-4ef6-9675-fbce1c7c6808,,False,,,86268118,,,False,,1492400487961,False,121397533,
91,#E6C300,,False,chuckthegypsy,CLINTS PLAYING OVERWATCH PogChamp,clintstevens,1492400474103,77103,"subscriber/12,premium/1",,#E6C300,ChuckTheGypsy,"{'88': [[25, 32]]}",a6685ce5-c9c7-48e0-92c0-6c1a4579ced5,,False,,,86268118,1492400487040,,True,,1492400488565,False,27862377,
92,#FF69B4,,False,hahn8solo,did you know... your a cLint,clintstevens,1492400474849,77849,,,#FF69B4,Hahn8solo,,b9a78345-3618-45bf-8bad-59cc5bb1bc66,,False,,,86268118,1492400488966,,False,,1492400489290,False,90884945,
93,#CD9FFE,,False,xenoda,"@ShirazRL, PogChamp /",clintstevens,1492400475672,78672,"moderator/1,subscriber/12,bits/100",,#CD9FFE,xenoda,"{'88': [[11, 18]]}",cf548466-212d-479d-9433-708e266a37c2,,True,,,86268118,1492400469935,,True,,1492400490142,False,53569589,mod
94,#FF0000,,False,hurpyhooves,@shinycutesylveon he got replaced by a chicken clintSmug,clintstevens,1492400476954,79954,"subscriber/3,bits/1000",,#FF0000,HurpyHooves,"{'146958': [[47, 55]]}",089b4273-76b4-4243-a21a-8f1ee4642418,,False,,,86268118,,,True,,1492400491410,False,39797784,
95,#E6C300,,False,chuckthegypsy,I annoyed him,clintstevens,1492400477048,80048,"subscriber/12,premium/1",,#E6C300,ChuckTheGypsy,,9338a0cb-1ede-4883-a32e-c20d55fd715d,,False,,,86268118,1492400489982,,True,,1492400491506,False,27862377,
96,#FF0000,,False,sushi_attack,clintHi clintHi clintHi clintHi,clintstevens,1492400479306,82306,"subscriber/0,bits/100",,#FF0000,Sushi_Attack,"{'110475': [[0, 6], [8, 14], [16, 22], [24, 30]]}",4c5d4c1d-5c6f-4fed-acfb-ed045a7bea6b,,False,,,86268118,1492400494987,,True,,1492400493745,False,41142471,
97,#00CCC9,,False,superenergiez,FeelsMakar CLINT YOU KILLED ME FeelsMakar I AM HERE TO HAUNT YOU FeelsMakar,clintstevens,1492400482015,85015,"subscriber/0,bits/1000",,#00CCC9,SuperEnergiez,,4062717d-d622-44ed-955e-91ef850a0ee4,,False,,,86268118,1492400479119,,True,,1492400496370,False,30477322,
98,#63CC00,,False,sapenti,Woot,clintstevens,1492400483164,86164,"subscriber/6,bits/100",,#63CC00,Sapenti,,75db0c89-a8b4-4a06-a9a7-76f4930a7b7e,,False,,,86268118,1492400501951,,True,,1492400497620,False,57554597,
99,#FF0000,,False,dirtydan25,YOOOO,clintstevens,1492400490403,93403,"subscriber/0,premium/1",,#FF0000,DirtyDan25,,7bedfaaa-15a7-47cd-8fc2-fd4317f28035,,False,,,86268118,1492400507073,,True,,1492400504841,False,70246113,
100,#FF7B00,,False,chiz001,Geech sucks at Deceit LUL,clintstevens,1492400492364,95364,premium/1,,#FF7B00,CHIZ001,,b60c8564-8c00-4156-a01d-9ef4ff98bc14,,False,,,86268118,1492400506671,,False,,1492400506800,False,47529299,
